run	particle	E	gain	pad
run_20221007_191251	pi-	150	80	20
run_20221007_191558	pi-	150	160	20
run_20221007_191926	pi-	150	320	20
run_20221007_192427	pi-	150	320	21
run_20221007_192907	pi-	150	160	21
run_20221007_193128	pi-	150	80	21
run_20221007_193742	pi-	150	80	22
run_20221007_194001	pi-	150	160	22
run_20221007_194232	pi-	150	320	22
run_20221007_195055	pi-	150	320	23
run_20221007_195452	pi-	150	160	23
run_20221007_195737	pi-	150	80	23
run_20221007_200308	pi-	150	80	24
run_20221007_200730	pi-	150	160	24
run_20221007_200919	pi-	150	320	24
run_20221007_201347	pi-	150	320	25
run_20221007_201539	pi-	150	160	25
run_20221007_202231	pi-	150	80	16
run_20221007_202543	pi-	150	160	16
run_20221007_202911	pi-	150	320	16
run_20221007_203418	pi-	150	320	17
run_20221007_204051	pi-	150	160	17
run_20221007_204345	pi-	150	80	17
run_20221007_204736	pi-	150	80	18
run_20221007_211053	pi-	150	160	18
run_20221007_211533	pi-	150	320	18
run_20221007_212224	pi-	150	320	28
run_20221007_222740	pi-	150	160	28
run_20221007_223408	pi-	150	80	28
run_20221007_224226	pi-	150	80	50
run_20221007_225139	pi-	150	160	50
run_20221007_225615	pi-	150	320	50
run_20221007_230325	pi-	150	320	49
run_20221007_230847	pi-	150	160	49
run_20221007_231514	pi-	150	80	49
run_20221007_232300	pi-	150	80	158
run_20221007_232744	pi-	150	160	158
run_20221007_233159	pi-	150	320	158
run_20221007_234223	pi-	150	320	122
run_20221007_234716	pi-	150	160	122
run_20221007_235133	pi-	150	80	122
run_20221008_000108	pi-	150	80	82
run_20221008_000545	pi-	150	160	82
run_20221008_001136	pi-	150	320	82
run_20221008_091145	pi-	150	80	37
run_20221008_091949	pi-	150	160	37
run_20221008_092614	pi-	150	320	37
run_20221008_095921	pi-	150	80	39
run_20221008_101552	pi-	150	160	39
run_20221008_101943	pi-	150	320	39
run_20221008_102555	pi-	150	80	36
run_20221008_103300	pi-	150	160	36
run_20221008_103956	pi-	150	320	36
run_20221008_104615	pi-	150	80	35
run_20221008_104952	pi-	150	160	35
run_20221008_105433	pi-	150	320	35
run_20221008_110205	pi-	150	80	34
run_20221008_111117	pi-	150	160	34
run_20221008_114131	pi-	150	320	34
run_20221008_115732	pi-	150	80	33
run_20221008_120439	pi-	150	160	33
run_20221008_121242	pi-	150	320	33
run_20221008_123004	pi-	150	80	32
run_20221008_123553	pi-	150	160	32
run_20221008_123944	pi-	150	320	32
run_20221008_124604	pi-	150	80	31
run_20221008_130933	pi-	150	160	31
run_20221008_131347	pi-	150	320	31
run_20221008_131909	pi-	150	80	30
run_20221008_132222	pi-	150	160	30
run_20221008_132456	pi-	150	320	30
run_20221008_133014	pi-	150	80	29
run_20221008_133736	pi-	150	160	29
run_20221008_134231	pi-	150	320	29
run_20221008_135034	pi-	150	80	141
run_20221008_135348	pi-	150	160	141
run_20221008_135811	pi-	150	320	141
run_20221008_140404	pi-	150	80	142
run_20221008_140835	pi-	150	160	142
run_20221008_141252	pi-	150	320	142
run_20221008_140404	pi-	150	80	143
run_20221008_140835	pi-	150	160	143
run_20221008_141252	pi-	150	320	143
run_20221008_142002	pi-	150	80	145
run_20221008_142408	pi-	150	160	145
run_20221008_142735	pi-	150	320	145
run_20221008_143525	pi-	150	80	146
run_20221008_143824	pi-	150	160	146
run_20221008_144102	pi-	150	320	146
run_20221008_144724	pi-	150	80	147
run_20221008_145138	pi-	150	160	147
run_20221008_145411	pi-	150	320	147
run_20221008_150028	pi-	150	80	148
run_20221008_150409	pi-	150	160	148
run_20221008_150739	pi-	150	320	148
run_20221011_093547	pi-	150	320	77
run_20221011_094655	pi-	150	160	77
run_20221011_100703	pi-	150	80	77
run_20221011_102131	pi-	150	320	61
run_20221011_102908	pi-	150	160	61
run_20221011_103613	pi-	150	80	61
run_20221011_102131	pi-	150	320	62
run_20221011_102908	pi-	150	160	62
run_20221011_103613	pi-	150	80	62
run_20221011_104652	pi-	150	320	108
run_20221011_105453	pi-	150	160	108
run_20221011_110213	pi-	150	80	108
run_20221011_111348	pi-	150	320	124
run_20221011_112244	pi-	150	160	124
run_20221011_113231	pi-	150	80	124
run_20221011_114235	pi-	150	320	92
run_20221011_114950	pi-	150	160	92
run_20221011_115725	pi-	150	80	92
run_20221011_120829	pi-	150	320	153
run_20221011_121636	pi-	150	160	153
run_20221011_122439	pi-	150	80	153
run_20221011_120829	pi-	150	320	154
run_20221011_121636	pi-	150	160	154
run_20221011_122439	pi-	150	80	154
run_20221011_123726	pi-	150	320	155
run_20221011_124515	pi-	150	160	155
run_20221011_125607	pi-	150	80	155
run_20221011_130925	pi-	150	320	168
run_20221011_131840	pi-	150	160	168
